Name,Chamber,Party,Avg. Net Worth
Anna Eshoo (D-Calif),H,D,2073505
Jim Langevin (D-RI),H,D,2026513
Susan A. Davis (D-Calif),H,D,2024024
Austin Scott (R-Ga),H,R,1975741
Ann Mclane Kuster (D-NH),H,D,1969579
Jeb Hensarling (R-Texas),H,R,1947016
Diana DeGette (D-Colo),H,D,1901012
Bill Owens (D-NY),H,D,1831004
Pete Olson (R-Texas),H,R,1821517
Charles B. Rangel (D-NY),H,D,1811507
Jim Matheson (D-Utah),H,D,1798013
Dutch Ruppersberger (D-Md),H,D,1782010
Gerry Connolly (D-Va),H,D,1765021
Xavier Becerra (D-Calif),H,D,1753030
Ted Yoho (R-Fla),H,R,1736853
Brad Sherman (D-Calif),H,D,1731007
Bill Keating (D-Mass),H,D,1716024
Zoe Lofgren (D-Calif),H,D,1710523
G. K. Butterfield (D-NC),H,D,1660010
Alan Lowenthal (D-Calif),H,D,1657028
Pete Sessions (R-Texas),H,R,1648529
Robert A. Brady (D-Pa),H,D,1640503
Michael E. Capuano (D-Mass),H,D,1612018
Collin Peterson (D-Minn),H,D,1602008
Bill Cassidy (R-La),H,R,1592030
Bob Gibbs (R-Ohio),H,R,1573525
Frank D. Lucas (R-Okla),H,R,1564504
Ed Markey (D-Mass),H,D,1552012
Justin Amash (R-Mich),H,R,1545013
Michael Burgess (R-Texas),H,R,1526538
Shelley Moore Capito (R-WVa),H,R,1504531
Julia Brownley (D-Calif),H,D,1478011
Jeff Duncan (R-SC),H,R,1475007
Doris O. Matsui (D-Calif),H,D,1444009
Ed Pastor (D-Ariz),H,D,1404006
Brett Guthrie (R-Ky),H,R,1378515
Candice S. Miller (R-Mich),H,R,1369657
John F. Tierney (D-Mass),H,D,1362504
Pete Visclosky (D-Ind),H,D,1348011
Timothy H. Bishop (D-NY),H,D,1342004
Cathy McMorris Rodgers (R-Wash),H,R,1318508
Henry A. Waxman (D-Calif),H,D,1199010
Michele Bachmann (R-Minn),H,R,1186007
Juan Vargas (D-Calif),H,D,1178505
Ann Kirkpatrick (D-Ariz),H,D,1169007
Richard Nugent (R-Fla),H,R,1154505
Ron Barber (D-Ariz),H,D,1143981
Bill Shuster (R-Pa),H,R,1136513
Doc Hastings (R-Wash),H,R,1135506
Peter DeFazio (D-Ore),H,D,1128508
Larry Bucshon (R-Ind),H,R,1123977
Steven Palazzo (R-Miss),H,R,1123512
