Name,Chamber,Party,Avg. Net Worth
Susan Brooks (R-Ind),H,R,"$4,221,522"
Tom Carper (D-Del),S,D,"$4,207,570"
Ken Calvert (R-Calif),H,R,"$4,075,003"
Trey Radel (R-Fla),H,R,"$4,069,612"
Tim Scott (R-SC),S,R,"$4,005,006"
John Boehner (R-Ohio),H,R,"$3,924,561"
Elizabeth Esty (D-Conn),H,D,"$3,923,539"
Jim Costa (D-Calif),H,D,"$3,839,003"
Blaine Luetkemeyer (R-Mo),H,R,"$3,808,003"
Maria Cantwell (D-Wash),S,D,"$3,771,505"
Hal Rogers (R-Ky),H,R,"$3,762,739"
John Barrow (D-Ga),H,D,"$3,758,502"
Bill Nelson (D-Fla),S,D,"$3,757,502"
Mick Mulvaney (R-SC),H,R,"$3,672,035"
Tom Coburn (R-Okla),S,R,"$3,665,560"
John Boozman (R-Ark),S,R,"$3,564,006"
Sam Graves (R-Mo),H,R,"$3,564,004"
Heidi Heitkamp (D-ND),S,D,"$3,532,537"
Reid Ribble (R-Wis),H,R,"$3,528,509"
Roy Blunt (R-Mo),S,R,"$3,460,010"
Doug LaMalfa (R-Calif),H,R,"$3,456,503"
Ed Whitfield (R-Ky),H,R,"$3,418,026"
Sander Levin (D-Mich),H,D,"$3,380,393"
Barbara Boxer (D-Calif),S,D,"$3,331,503"
Dean Heller (R-Nev),S,R,"$3,274,955"
James P. McGovern (D-Mass),H,D,"$3,206,005"
Patrick E. Murphy (D-Fla),H,D,"$3,185,011"
Richard Burr (R-NC),S,R,"$3,157,360"
David Schweikert (R-Ariz),H,R,"$3,149,506"
Chuck Grassley (R-Iowa),S,R,"$3,142,538"
Ted Cruz (R-Texas),S,R,"$3,094,523"
Allyson Schwartz (D-Pa),H,D,"$3,044,525"
David Price (D-NC),H,D,"$3,030,039"
Loretta Sanchez (D-Calif),H,D,"$2,991,501"
Bill Pascrell Jr (D-NJ),H,D,"$2,991,019"
Pat Toomey (R-Pa),S,R,"$2,977,025"
Dennis Ross (R-Fla),H,R,"$2,951,000"
Leonard Lance (R-NJ),H,R,"$2,946,508"
William Enyart (D-Ill),H,D,"$2,929,032"
Tom Udall (D-NM),S,D,"$2,881,022"
Randy Forbes (R-Va),H,R,"$2,880,504"
Gary Peters (D-Mich),H,D,"$2,880,081"
Susan Collins (R-Maine),S,R,"$2,874,078"
Orrin G. Hatch (R-Utah),S,R,"$2,854,035"
Thomas Massie (R-Ky),H,R,"$2,841,001"
Lamar Alexander (R-Tenn),S,R,"$2,794,024"
Greg Walden (R-Ore),H,R,"$2,781,015"
Louise M. Slaughter (D-NY),H,D,"$2,779,510"
Nick Rahall (D-WVa),H,D,"$2,776,087"
Billy Long (R-Mo),H,R,"$2,731,018"
Howard Coble (R-NC),H,R,"$2,687,615"
Rush Holt (D-NJ),H,D,"$2,654,009"
Joyce Beatty (D-Ohio),H,D,"$2,641,516"
Thad Cochran (R-Miss),S,R,"$2,633,535"
Mike Simpson (R-Idaho),H,R,"$2,571,288"
Mazie K. Hirono (D-Hawaii),S,D,"$2,553,523"
Chuck Fleischmann (R-Tenn),H,R,"$2,528,000"
Mike D. Rogers (R-Ala),H,R,"$2,518,011"
Sam Farr (D-Calif),H,D,"$2,469,516"
Luis V. Gutierrez (D-Ill),H,D,"$2,464,049"
Lois J. Frankel (D-Fla),H,D,"$2,461,137"
Jack Kingston (R-Ga),H,R,"$2,433,912"
Robert B. Aderholt (R-Ala),H,R,"$2,429,008"
Brad Wenstrup (R-Ohio),H,R,"$2,413,521"
Kathy Castor (D-Fla),H,D,"$2,403,523"
Ander Crenshaw (R-Fla),H,R,"$2,388,506"
Daniel Lipinski (D-Ill),H,D,"$2,352,526"
Andy Harris (R-Md),H,R,"$2,321,025"
Bob Goodlatte (R-Va),H,R,"$2,303,520"
Mark Sanford (R-SC),H,R,"$2,297,505"
Colleen Hanabusa (D-Hawaii),H,D,"$2,277,508"
Robert E. Latta (R-Ohio),H,R,"$2,265,020"
Dan Benishek (R-Mich),H,R,"$2,249,028"
Mike Thompson (D-Calif),H,D,"$2,238,005"
Judy Chu (D-Calif),H,D,"$2,212,519"
Grace Meng (D-NY),H,D,"$2,114,522"
Ralph M. Hall (R-Texas),H,R,"$2,092,502"
Lou Barletta (R-Pa),H,R,"$2,083,544"
Anna Eshoo (D-Calif),H,D,"$2,073,505"
Jim Langevin (D-RI),H,D,"$2,026,513"
Susan A. Davis (D-Calif),H,D,"$2,024,024"
Austin Scott (R-Ga),H,R,"$1,975,741"
Ann Mclane Kuster (D-NH),H,D,"$1,969,579"
Jeb Hensarling (R-Texas),H,R,"$1,947,016"
Diana DeGette (D-Colo),H,D,"$1,901,012"
Bill Owens (D-NY),H,D,"$1,831,004"
Pete Olson (R-Texas),H,R,"$1,821,517"
Charles B. Rangel (D-NY),H,D,"$1,811,507"
Jim Matheson (D-Utah),H,D,"$1,798,013"
Mary L. Landrieu (D-La),S,D,"$1,795,007"
Mark Udall (D-Colo),S,D,"$1,784,528"
Dutch Ruppersberger (D-Md),H,D,"$1,782,010"
Gerry Connolly (D-Va),H,D,"$1,765,021"
Xavier Becerra (D-Calif),H,D,"$1,753,030"
Ted Yoho (R-Fla),H,R,"$1,736,853"
Brad Sherman (D-Calif),H,D,"$1,731,007"
Bill Keating (D-Mass),H,D,"$1,716,024"
Zoe Lofgren (D-Calif),H,D,"$1,710,523"
Pat Roberts (R-Kan),S,R,"$1,695,514"
Carl Levin (D-Mich),S,D,"$1,679,007"
G. K. Butterfield (D-NC),H,D,"$1,660,010"
Alan Lowenthal (D-Calif),H,D,"$1,657,028"
Pete Sessions (R-Texas),H,R,"$1,648,529"
Robert A. Brady (D-Pa),H,D,"$1,640,503"
David Vitter (R-La),S,R,"$1,633,027"
Michael E. Capuano (D-Mass),H,D,"$1,612,018"
Collin Peterson (D-Minn),H,D,"$1,602,008"
Amy Klobuchar (D-Minn),S,D,"$812,514"
Bill Cassidy (R-La),H,R,"$1,592,030"
Bob Gibbs (R-Ohio),H,R,"$1,573,525"
Frank D. Lucas (R-Okla),H,R,"$1,564,504"
Ed Markey (D-Mass),H,D,"$1,552,012"
Justin Amash (R-Mich),H,R,"$1,545,013"
Michael Burgess (R-Texas),H,R,"$1,526,538"
Shelley Moore Capito (R-WVa),H,R,"$1,504,531"
Julia Brownley (D-Calif),H,D,"$1,478,011"
Jeff Duncan (R-SC),H,R,"$1,475,007"
Doris O. Matsui (D-Calif),H,D,"$1,444,009"
Mark Begich (D-Alaska),S,D,"$1,415,023"
Ed Pastor (D-Ariz),H,D,"$1,404,006"
Tim Kaine (D-Va),S,D,"$1,379,024"
Brett Guthrie (R-Ky),H,R,"$1,378,515"
Candice S. Miller (R-Mich),H,R,"$1,369,657"
John F. Tierney (D-Mass),H,D,"$1,362,504"
Pete Visclosky (D-Ind),H,D,"$1,348,011"
Dick Durbin (D-Ill),S,D,"$1,345,245"
Timothy H. Bishop (D-NY),H,D,"$1,342,004"
Cathy McMorris Rodgers (R-Wash),H,R,"$1,318,508"
Jeff Merkley (D-Ore),S,D,"$1,275,510"
Tim Johnson (D-SD),S,D,"$1,201,522"
Henry A. Waxman (D-Calif),H,D,"$1,199,010"
Michele Bachmann (R-Minn),H,R,"$1,186,007"
Juan Vargas (D-Calif),H,D,"$1,178,505"
Ann Kirkpatrick (D-Ariz),H,D,"$1,169,007"
Jon Tester (D-Mont),S,D,"$1,165,502"
Richard Nugent (R-Fla),H,R,"$1,154,505"
Ron Barber (D-Ariz),H,D,"$1,143,981"
Bill Shuster (R-Pa),H,R,"$1,136,513"
Doc Hastings (R-Wash),H,R,"$1,135,506"
Peter DeFazio (D-Ore),H,D,"$1,128,508"
Larry Bucshon (R-Ind),H,R,"$1,123,977"
Steven Palazzo (R-Miss),H,R,"$1,123,512"
Adam Schiff (D-Calif),H,D,"$1,119,013"
Matt Cartwright (D-Pa),H,D,"$1,105,518"
Rick Nolan (D-Minn),H,D,"$1,105,504"
Jeff Miller (R-Fla),H,R,"$1,091,003"
Sean Patrick Maloney (D-NY),H,D,"$1,048,005"
Marcia L. Fudge (D-Ohio),H,D,"$1,031,506"
Marlin Stutzman (R-Ind),H,R,"$1,031,008"
Patrick J. Tiberi (R-Ohio),H,R,"$1,014,515"
Steve Stivers (R-Ohio),H,R,"$1,003,019"
Mark R. Meadows (R-NC),H,R,"$1,000,510"
Paul Gosar (R-Ariz),H,R,"$982,501"
David Cicilline (D-RI),H,D,"$966,001"
Maxine Waters (D-Calif),H,D,"$964,007"
Mike Honda (D-Calif),H,D,"$964,005"
Kelly Ayotte (R-NH),S,R,"$963,007"
Mo Brooks (R-Ala),H,R,"$962,523"
Kay Granger (R-Texas),H,R,"$958,005"
Frederica Wilson (D-Fla),H,D,"$954,005"
Martha Roby (R-Ala),H,R,"$948,511"
Sheila Jackson Lee (D-Texas),H,D,"$943,504"
Mike Enzi (R-Wyo),S,R,"$938,028"
Melvin L. Watt (D-NC),H,D,"$929,020"
Elijah E. Cummings (D-Md),H,D,"$915,004"
Joe Pitts (R-Pa),H,R,"$896,004"
Scott Perry (R-Pa),H,R,"$891,009"
Bill Huizenga (R-Mich),H,R,"$878,508"
Don Young (R-Alaska),H,R,"$872,504"
Mike Crapo (R-Idaho),S,R,"$872,009"
Paul Cook (R-Calif),H,R,"$870,508"
Henry Cuellar (D-Texas),H,D,"$855,006"
Peter Roskam (R-Ill),H,R,"$854,525"
Patty Murray (D-Wash),S,D,"$850,008"
Randy Weber (R-Texas),H,R,"$833,002"
Jerry Moran (R-Kan),S,R,"$826,009"
Rob Wittman (R-Va),H,R,"$824,513"
Robert E. Andrews (D-NJ),H,D,"$814,004"
Bruce Braley (D-Iowa),H,D,"$811,035"
Tammy Baldwin (D-Wis),S,D,"$798,502"
Jason Chaffetz (R-Utah),H,R,"$788,506"
Mark Pocan (D-Wis),H,D,"$766,002"
